code,product_name,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,categories_en
0099482455804,"365 everyday value, dark red kidney beans",85.0,356.0,0.0,0.0,0.0,0.0,15.38,0.77,5.4,5.38,0.02,0.008,0.015,0.00138,-7.0,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Canned foods,Legumes,Seeds,Canned plant-based foods,Legume seeds,Pulses,Common beans,Canned legumes,Red beans,Canned common beans"
7771712000765,Chocolates Surtidos con Frutas y Sabores,571.0,2390.0,38.1,21.4,0.0,0.0238,47.6,42.9,0.0,9.52,0.179,0.0714,0.238,0.0019,26.0,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons,Chocolates,Milk chocolates,Assorted chocolate candies,Flavoured chocolates,Flavoured milk chocolates"
79893065069,Sauce,167.0,699.0,0.0,0.0,0.0,0.0,45.0,40.0,1.7,0.0,0.0,0.0,0.0,0.0,7.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Condiments,Canned plant-based foods,Fruits based foods,Canned fruits,Sauces,Groceries"
0044500003864,Italian dry salame light less fat deli thin sliced,250.0,1046.0,14.285714285714,5.3571428571429,0.0,0.107,3.5714285714286,3.5714285714286,0.0,25.0,4.4642857142857,1.78571428571428,0.071,0.00129,18.0,"Meats and their products,Meats,Prepared meats,Cured sausages,Salami"
71007373923,Beef barbacoa shredded beef in a zesty red sauce topped with monterey jack cheese and served over spanish style rice,153.0,640.0,6.27,1.76,0.0,0.014,17.65,1.18,0.4,6.27,1.295,0.518,0.059,0.00106,4.0,Frozen foods
826766162116,Authentic italian pinwheels,236.0,987.0,11.96,5.07,0.0,0.042,17.03,1.81,0.7,14.13,1.9025,0.761,0.091,0.00196,15.0,Sandwiches
757339777775,"Sticky fingers smokehouse, barbecue sauce, tennessee whiskey",132.0,552.0,0.0,0.0,0.0,0.0,32.35,26.47,0.0,0.0,2.205,0.882,0.059,0.00106,15.0,"Condiments,Sauces,Barbecue sauces,Groceries"
55742505696,Macaroni & Cheese,165.0,689.0,5.88,2.35,0.118,0.00588,22.0,3.14,1.57,6.27,0.843,0.337,0.0882,0.000392,3.0,"Meals,Pasta dishes,Macaroni and cheese"
70221103118,Cote D'Or Experiences Chocolate Bar Dark 86% 1X3.52 Oz,675.0,2824.0,57.5,35.0,0.0,0.0,32.5,12.5,12.5,7.5,0.0,0.0,0.058,0.0087,15.0,"Snacks,Sweet snacks,Confectioneries"
71140660201,Organic coconut milk,185.0,774.0,18.46,16.92,0.0,0.0,4.62,1.54,0.0,1.54,0.0775,0.031,0.0,0.0,10.0,"Plant-based foods and beverages,Beverages,Dairy substitutes,Milk substitutes,Plant-based beverages,Plant-based milk alternatives"
0185814001525,"Organic quinoa, brown rice & red bean blend",164.0,686.0,3.21,0.36,0.0,0.0,30.0,3.57,5.7,5.0,0.9275,0.371,0.014,0.00129,-2.0,"Meals,Rice dishes"
0028400091510,Cool Ranch Doritos,530.0,2220.0,28.3,3.53,0.0,0.0,63.6,3.53,3.53,7.07,1.68,0.671,0.106,0.00106,13.0,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips"
7789045347,Landjager dried snack sausage with wine,421.0,1761.0,35.09,12.28,0.0,0.105,0.0,0.0,0.0,28.07,3.51,1.404,0.0,0.00316,25.0,Snacks
0888849006076,"Oatmeal raisin protein cookie, oatmeal raisin",397.0,1661.0,22.22,12.7,0.0,0.048,39.68,4.76,19.0,23.81,0.8725,0.349,0.238,0.00057,13.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits"
819573012484,"Happymama Organics, Prenatal Nourishing Fruit + Veggie Blend, Apple, Carrot, Ginger",62.0,259.0,0.0,0.0,0.0,0.0,15.04,11.5,1.8,0.0,0.0325,0.013,0.177,0.00032,-1.0,Snacks
0048121101015,Mini croissants,375.0,1569.0,20.8333,8.3333,0.0,0.0,37.5,8.3333,2.1,6.25,0.98958325,0.3958333,0.104,0.00208,15.0,"Snacks,Sweet snacks,Biscuits and cakes,Pastries"
719283008916,"Blueberry bagels, blueberry",247.0,1033.0,1.23,0.0,0.0,0.0,51.85,8.64,3.7,8.64,0.865,0.346,0.127,0.00247,-1.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads"
0708820337961,5 grain baguette crisps,393.0,1644.0,21.43,1.79,0.0,0.0,39.29,3.57,3.6,7.14,1.785,0.714,0.0,0.00386,9.0,"Snacks,Sweet snacks,Biscuits and cakes"
851980005673,Fusilli,351.0,1470.0,0.877,0.0,0.0,0.0,73.7,1.75,3.51,12.3,0.0,0.0,0.0351,0.0,-4.0,"Plant-based foods and beverages,Plant-based foods,Pastas,Dry pastas"
41512159435,"Thousand island dressing, thousand island",150.0,628.0,3.33,0.0,0.0,0.0,30.0,20.0,0.0,0.0,1.9175,0.767,0.017,0.0,13.0,"Condiments,Sauces,Groceries"
673367615356,Grass jelly drink,40.0,167.0,0.0,0.0,0.0,0.0,10.0,8.75,0.0,0.0,0.0975,0.039,0.025,0.0,12.0,Beverages
0194283550601,Watermelon Sour Slices,350.0,1460.0,0.0,0.0,0.0,0.0,87.5,65.0,0.0,0.0,0.0938,0.0375,0.025,0.0,14.0,"Snacks,Sweet snacks,Confectioneries"
78742122434,Applesauce,71.0,297.0,0.0,0.0,0.0,0.0,17.7,16.81,1.8,0.0,0.0225,0.009,0.0,0.0,1.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Snacks,Desserts,Fruits based foods,Compotes,Apple compotes,Applesauces"
85239018330,"Vegan roasted harvest vegetables in a maple vinaigrette farro salad, roasted vegetable & farro",280.0,1172.0,7.0,1.0,0.0,0.0,49.0,7.0,5.0,9.0,0.825,0.33,0.08,0.00144,-3.0,"Meals,Prepared salads,Salads"
98487954473,Couscous,377.77777777778,1581.0,0.0,0.0,0.0,0.0,77.777777777778,2.2222222222222,4.4444444444444,13.333333333333,0.0,0.0,0.033,0.00222,-5.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Couscous"
78742036410,Lactose,45.833333333333,192.0,1.0416666666667,0.625,0.0,0.006,5.4166666666667,5.0,0.0,3.3333333333333,0.13020833333333,0.052083333333332,0.125,0.0,-1.0,"Dairies,Milks,Skimmed milks"
750463801828,Sweet Onion Chili Jam,265.0,1109.0,0.0,0.0,0.0,0.0,58.82,52.94,0.0,0.0,2.795,1.118,0.118,0.00212,22.0,"Condiments,Sauces,Groceries"
70784430645,High fiber light red kidney beans,229.0,958.0,1.43,0.0,0.0,0.0,60.0,2.86,31.4,22.86,0.035,0.014,0.02,0.00543,-8.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Mixed vegetables"
72180566386,Deep dish singles four cheese pizza,264.1509,1105.0,11.9497,6.2893,0.0,0.022,28.9308,6.9182,1.3,9.434,1.3050315,0.5220126,0.189,0.00182,14.0,"Meals,Pizzas pies and quiches,Pizzas,Deep-dish-pizza"
756702133224,Corn Tostadas With Sea Salt,514.0,2151.0,24.32,10.81,0.0,0.0,64.86,0.0,10.8,5.41,1.69,0.676,0.541,0.0,18.0,Mexican-dinner-mixes
20471459336,Diet Iced Tea Pasturized,1.0,4.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.01,0.004,0.0,0.0,1.0,"Beverages,Tea-based beverages,Iced teas,Lemon flavored iced teas"
78742123257,Lean Ground Beef,152.0,636.0,7.14,3.12,0.45,0.062,0.0,0.0,0.0,20.54,0.1675,0.067,0.0,0.00241,-1.0,"Meats and their products,Meats"
857777004751,"Protein bar, berry blast",394.0,1648.0,13.64,1.52,0.0,0.0,45.45,27.27,9.1,21.21,0.645,0.258,0.115,0.00303,6.0,Snacks
11152038513,Tomoshiraga somen,345.0,1443.0,1.82,0.36,0.0,0.0,72.73,0.0,1.8,9.09,3.4275,1.371,0.018,0.00098,13.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Noodles"
876045006631,Tuscan wheet linguini,357.14285714286,1494.0,1.7857142857143,0.0,0.0,0.0,75.0,3.5714285714286,3.5714285714286,10.714285714286,0.0,0.0,0.0,0.00107,-4.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas"
0040000525653,Promises milk chocolate candy,562.5,2354.0,31.25,18.75,0.0,0.031,59.38,56.25,3.1,6.25,0.1984,0.07936,0.188,0.0,24.0,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies"
0011110045775,Whole baby carrots,24.0,100.0,0.0,0.0,0.0,0.0,4.8,3.2,1.6,0.8,0.5,0.2,0.024,0.00032,-4.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables"
51756000721,"Sweet smiles, cinnamon discs candy",500.0,2092.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,"Snacks,Sweet snacks,Confectioneries"
85239030028,Loaded Baked Potato Bread,286.0,1197.0,10.2,4.08,0.0,0.01,44.9,2.04,2.0,10.2,1.53,0.612,0.204,0.0022,11.0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads"
654367591727,Mexican veggimeals crumble,187.0,782.0,3.85,0.0,0.0,0.0,15.38,3.3,7.7,14.29,0.825,0.33,0.11,0.00396,-5.0,"Plant-based foods and beverages,Plant-based foods,Meat alternatives,Meat analogues"
884853610865,Farm raised tortilla lime crusted tilapia,183.0,766.0,6.34,1.41,0.0,0.025,16.9,2.82,0.7,14.08,1.215,0.486,0.014,0.0007,3.0,"Seafood,Fishes and their products,Fishes,Frozen foods,Frozen seafood,Tilapia"
856724005049,Fresh Chipotle Salsa,17.0,71.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,1.125,0.45,0.0,0.0,4.0,"Condiments,Sauces,Dips,Groceries"
609207618331,Diced Coconut,480.0,2008.0,23.53,21.57,0.0,0.0,62.75,58.82,2.0,3.92,0.0825,0.033,0.0,0.00176,21.0,Snacks
8901972058612,Waffy Chocolate,500.0,2092.0,23.33,10.0,0.0,0.0,70.0,46.67,0.0,3.33,0.2075,0.083,0.0,0.0,25.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits"
71117143522,"Creamy mashed potatoes, creamy",113.0,473.0,4.03,2.42,0.0,0.012,16.13,0.81,1.6,2.42,0.8275,0.331,0.032,0.00087,4.0,Meals
72080100079,Dip Style Potato Chips,536.0,2243.0,35.71,8.93,0.0,0.0,50.0,0.0,3.6,7.14,1.4275,0.571,0.0,0.00129,17.0,Snacks
0859888000684,Coconut crisps,464.0,1941.0,42.86,39.29,0.0,0.0,25.0,3.57,10.7,3.57,1.0725,0.429,0.0,0.00257,12.0,Snacks
0047837158092,Edamame,127.0,531.0,4.23,0.0,0.0,0.0,11.27,0.0,5.6,12.68,0.035,0.014,0.056,0.00203,-11.0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods"
75767608875,Premium Ice Cream,214.0,895.0,10.0,5.71,0.0,0.029,30.0,27.14,0.0,2.86,0.2675,0.107,0.086,0.0,14.0,"Desserts,Frozen foods,Frozen desserts"
851916003643,Chocolate cookie swirl & cookie crumb frozen dessert with double chocolate cookies sandwich,303.0,1268.0,13.94,3.64,0.0,0.0,41.21,24.85,2.4,3.03,0.41,0.164,0.012,0.00218,10.0,"Desserts,Frozen foods,Frozen desserts"
25800000913,"Vegetables and beans with rice topped with cheese and a enchilada sauce bowl, vegetable enchilada",129.0,540.0,3.91,1.56,0.0,0.008,19.14,1.56,2.7,4.69,0.645,0.258,0.086,0.00109,0.0,Frozen foods
7789046715,Chopped walnuts,667.0,2791.0,66.67,6.67,0.0,0.0,13.33,3.33,6.7,16.67,0.0,0.0,0.097,0.00333,7.0,Snacks
11110586483,"Kroger, mild cheddar cheese",393.0,1644.0,32.14,17.86,0.0,0.107,3.57,0.0,0.0,25.0,1.6075,0.643,0.714,0.0,16.0,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Cheeses from the United Kingdom,Cheeses from England,Cheddar cheese,Mild cheddar"
85239021187,Calabrese hot salami,321.0,1343.0,25.0,8.93,0.0,0.089,3.57,0.0,0.0,25.0,3.84,1.536,0.0,0.00129,22.0,"Meats and their products,Meats,Prepared meats"
838766008349,Sport protein bar,429.0,1795.0,15.71,7.14,0.0,0.0,37.14,20.0,4.3,28.57,1.035,0.414,0.086,0.00257,16.0,Snacks
